catchment_school_short,catchment_school_name,seed_code,objectid,geojson_filename,local_authority,catchment_type
Waid,Waid Academy,5426138,1,fife_catchment_waid_academy.geojson,Fife,Secondary non-denominational
Viewforth HS,Viewforth High School,5407338,2,fife_catchment_viewforth_high_school.geojson,Fife,Secondary non-denominational
Levenmouth,Levenmouth Academy,1003232,3,fife_catchment_levenmouth_academy.geojson,Fife,Secondary non-denominational
Madras,Madras College,5426537,4,fife_catchment_madras_college.geojson,Fife,Secondary non-denominational
Bell Baxter HS,Bell Baxter High School,5426332,5,fife_catchment_bell_baxter_high_school.geojson,Fife,Secondary non-denominational
Balwearie HS,Balwearie High School,5406838,6,fife_catchment_balwearie_high_school.geojson,Fife,Secondary non-denominational
Kirkcaldy HS,Kirkcaldy High School,5407036,11,fife_catchment_kirkcaldy_high_school.geojson,Fife,Secondary non-denominational
Beath HS,Beath High School,5447232,12,fife_catchment_beath_high_school.geojson,Fife,Secondary non-denominational
Glenrothes HS,Glenrothes High School,5406730,7,fife_catchment_glenrothes_high_school.geojson,Fife,Secondary non-denominational
Woodmill HS,Woodmill High School,5446430,15,fife_catchment_woodmill_high_school.geojson,Fife,Secondary non-denominational
Glenwood HS,Glenwood High School,5406536,8,fife_catchment_glenwood_high_school.geojson,Fife,Secondary non-denominational
Lochgelly HS,Lochgelly High School,5447437,9,fife_catchment_lochgelly_high_school.geojson,Fife,Secondary non-denominational
Auchmuty HS,Auchmuty High School,5406439,10,fife_catchment_auchmuty_high_school.geojson,Fife,Secondary non-denominational
Dunfermline HS,Dunfermline High School,5446139,13,fife_catchment_dunfermline_high_school.geojson,Fife,Secondary non-denominational
Queen Anne HS,Queen Anne High School,5446236,14,fife_catchment_queen_anne_high_school.geojson,Fife,Secondary non-denominational
Inverkeithing HS,Inverkeithing High School,5446732,16,fife_catchment_inverkeithing_high_school.geojson,Fife,Secondary non-denominational
