SchoolRecordID,SeedCode,SchUID,SchoolName,SchoolMapLabel,SchoolType,CentreType,Denomination,LAName,LACode,AddressLine1,AddressLine2,AddressLine3,PostCode,PostCode_clean,Postcode_area,Postcode_district,Latitude,Longitude,GridRefEasting,GridRefNorthing,PupilRoll,FTETeacher,PropPupilsMinorityEthnic,PropPupils20PCMostDeprived,DZSIMDPercentile,DZSIMDMostDep15Pct,DZSIMDMostDep16_25Pct,DZSIMDMostDep25Pct,AddrUR8,AddrUR6,AddrUR8Desc,AddrUR6Desc,DZUR8,DZUR6,DZUR8Desc,DZUR6Desc,DataZone,UPRN,Email,Phone,Website,Notes,HasCoordinates
1,5244439,5244439S,Aberdeen Grammar School,Aberdeen Grammar School (Aberdeen City),Secondary,Local Authority,Non-denominational,Aberdeen City,S12000033,Skene Street,Aberdeen,,AB10 1HT,AB10 1HT,AB,AB10,57.1469242,-2.115954,393083,806234,1205,107.4,>20%,*,48,N,N,N,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01006564,9051064936,aberdeengrammarschool@aberdeencity.gov.uk,01224 642299,http://www.grammar.org.uk,,True
2,5257530,5257530S,Aboyne Academy,Aboyne Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Bridgeview Road,Aboyne,ABERDEENSHIRE,AB34 5JN,AB34 5JN,AB,AB34,57.0754187,-2.7953613,351879,798548,669,60.6,0 - <5%,0%,82,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01006795,151085007,aboyne.aca@aberdeenshire.gov.uk,01339 267750,http://aboyneacademy.aberdeenshire.sch.uk,,True
3,8505438,8505438S,Airdrie Academy,Airdrie Academy (North Lanarkshire),Secondary,Local Authority,Non-denominational,North Lanarkshire,S12000050,South Commonhead Avenue,Airdrie,,ML6 6NX,ML6 6NX,ML,ML6,55.8755426,-3.9815892,276119,666485,1032,73.9,5 - <10%,40 - <45%,16,N,Y,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01011659,118140728,ht@airdrie.n-lanark.sch.uk,01236 632161,https://blogs.glowscotland.org.uk/nl/airdrieacademy/,,True
4,6103030,6103030S,Aith Junior High School,Aith Junior High School (Shetland Islands),Secondary,Local Authority,Non-denominational,Shetland Islands,S12000027,Aith,Shetland,,ZE2 9NB,ZE2 9NB,ZE,ZE2,60.2837886,-1.377676,434515,1155673,116,11.8,*,0%,72,N,N,N,8,6,Very Remote Rural Areas,Remote Rural Areas,8,6,Very Remote Rural Areas,Remote Rural Areas,S01012407,30100006738,aith@shetland.gov.uk,01595 807400,http://www.aith.shetland.sch.uk/,,True
5,5230934,5230934S,Alford Academy,Alford Academy (Aberdeenshire),Secondary,Local Authority,Non-denominational,Aberdeenshire,S12000034,Alford Community Campus,Greystone Road,ALFORD,AB33 8TY,AB33 8TY,AB,AB33,57.2313696,-2.71361,357017,815854,733,59.0,0 - <5%,0%,74,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,7,6,Remote Rural Areas,Remote Rural Areas,S01006885,151170828,alford.aca@aberdeenshire.gov.uk,019755 20430,http://www.alfordacademy.aberdeenshire.sch.uk/,,True
6,8431930,8431930S,All Saints Secondary School,All Saints Secondary School (Glasgow City),Secondary,Local Authority,Roman Catholic,Glasgow City,S12000049,299 Ryehill Road,,GLASGOW,G21 3EN,G21 3EN,G,G21,55.8861754,-4.20294,262310,668087,905,67.6,>20%,70 - <75%,10,Y,N,Y,1,1,Large Urban Areas,Large Urban Areas,1,1,Large Urban Areas,Large Urban Areas,S01010199,906700375787,headteacher@allsaints-sec.glasgow.sch.uk,0141 582 0010,http://www.allsaints-sec.glasgow.sch.uk,,True
7,5702534,5702534S,Alloa Academy,Alloa Academy (Clackmannanshire),Secondary,Local Authority,Non-denominational,Clackmannanshire,S12000005,Bowhouse Road,Alloa,,FK10 1DN,FK10 1DN,FK,FK10,56.1088878,-3.7936069,288553,692131,757,62.6,5 - <10%,40 - <45%,4,Y,N,Y,2,2,Other Urban Areas,Other Urban Areas,2,2,Other Urban Areas,Other Urban Areas,S01007466,35025490,alloa@edu.clacks.gov.uk,01259 214979,http://alloaacademy.com/,,True
8,5120136,5120136S,Alness Academy,Alness Academy (Highland),Secondary,Local Authority,Non-denominational,Highland,S12000017,Dalmore,,ALNESS,IV17 0UY,IV17 0UY,IV,IV17,57.6928825,-4.2484046,266072,869231,505,39.8,*,45 - <50%,32,N,N,N,7,6,Remote Rural Areas,Remote Rural Areas,4,4,Remote Small Towns,Remote Small Towns,S01010737,130176799,alness.academy@highland.gov.uk,01349 883341,http://alnessacademy.wordpress.com,,True
9,5702836,5702836S,Alva Academy,Alva Academy (Clackmannanshire),Secondary,Local Authority,Non-denominational,Clackmannanshire,S12000005,Academy Avenue,Alva,,FK12 5FE,FK12 5FE,FK,FK12,56.1505494,-3.7914324,288808,696763,962,82.6,0 - <5%,10 - <15%,42,N,N,N,3,3,Accessible Small Towns,Accessible Small Towns,3,3,Accessible Small Towns,Accessible Small Towns,S01007429,35025570,alva@edu.clacks.gov.uk,01259 760342,http://alvaacademy.com/,,True
10,6103634,6103634S,Anderson High School,Anderson High School (Shetland Islands),Secondary,Local Authority,Non-denominational,Shetland Islands,S12000027,North Loch Drive,Lerwick,SHETLAND,ZE1 0GR,ZE1 0GR,ZE,ZE1,60.1494683,-1.1373481,448000,1140864,986,84.7,0 - <5%,0%,55,N,N,N,5,4,Very Remote Small Towns,Remote Small Towns,5,4,Very Remote Small Towns,Remote Small Towns,S01012397,30100000033,anderson@shetland.gov.uk,01595 808008,http://www.anderson.shetland.sch.uk/,,True
