sample_row,local_auth,school_nam,la_s_code,seed_code,uprn,address,type,level,email,phone,website,sh_date_up,sh_src,sh_src_id
1,Dundee City,ST PAUL'S RC ACADEMY,S12000042,5330033,9059095192.0,"90 GILLBURN ROAD, DUNDEE, DD3 0EH",Denominational,Secondary,stpaulsrcacademy@dundeeschools.scot,01382 307701,http://st-pauls.ea.dundeecity.sch.uk/,2026-05-21,90425f8a-fae8-4966-8885-11daac231366,10
2,North Lanarkshire,ST MAURICE'S HIGH SCHOOL,S12000050,8358931,118019853.0,"WESTFIELD, CUMBERNAULD, G68 9AG",Denominational,Secondary,ht@st-maurices.n-lanark.sch.uk,01236 794845,http://www.st-maurices.n-lanark.sch.uk,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,12
3,Glasgow City,ST THOMAS AQUINAS SECONDARY SCHOOL,S12000049,8438838,,"112 MITRE ROAD, GLASGOW, G14 9PP",Denominational,Secondary,headteacher@st-thomasaquinas-sec.glasgow.sch.uk,0141 582 0280,https://blogs.glowscotland.org.uk/gc/stthomasaquinassecondaryschoolglasgow/,2026-05-21,ba3ad164-aaeb-4c7c-b145-58f388a902c9,62
4,North Lanarkshire,OUR LADY'S HIGH SCHOOL - MOTHERWELL,S12000050,8517134,118076845.0,"DALZELL DRIVE, MOTHERWELL, ML1 2DG",Denominational,Secondary,ht@ourladyshigh.n-lanark.sch.uk,01698 274925,http://www.ourladyshighschool.co.uk/,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,20
5,Falkirk,ST MODAN'S HIGH SCHOOL,S12000014,5726336,122062503.0,"ROYAL STUART WAY, STIRLING, FK7 7WS",Denominational,Secondary,stmodanshs@stirling.gov.uk,01786 470962,http://stmodans.co.uk/,2026-05-21,8b8685ab-747f-4d0b-8d84-12eafe575bbb,8
6,Inverclyde,ST COLUMBA'S HIGH SCHOOL,S12000018,8645434,119001208.0,"FLETCHER AVENUE, GOUROCK, PA19 1TN",Denominational,Secondary,office@st-columbashigh.inverclyde.sch.uk,01475 715250,http://st-columbashigh.inverclyde.sch.uk/,2018-05-16,f4cdf388-42ff-4621-a844-6673716a8afb,31
7,City of Edinburgh,HOLY ROOD RC HIGH SCHOOL,S12000036,5533031,906463299.0,"55 DUDDINGSTON ROAD WEST, EDINBURGH, EH15 3ST",Denominational,Secondary,admin@holyrood.edin.sch.uk,0131 661 5871,http://www.holyrood.edin.sch.uk/,2026-05-21,e373588c-b19a-476e-997c-9e1e9ae73ecf,3
8,West Dunbartonshire,ST PETER THE APOSTLE HIGH SCHOOL,S12000039,8300135,129052717.0,"KIRKOSWALD DRIVE, CLYDEBANK, G81 2DB",Denominational,Secondary,SchoolOffice.SPTA@education.w-dunbarton.sch.uk,0141 533 3100,https://sites.google.com/ourcloud.buzz/spta/home,2026-05-21,4dd06776-b37e-4c27-96b4-79c6dfd5eb68,2
9,Fife,ST ANDREW'S R C HIGH SCHOOL,S12000047,5407230,320181813.0,"OVERTON ROAD, KIRKCALDY, KY1 3JL",Denominational,Secondary,st-andrewshs.enquiries@fife.gov.uk,01592 583407,http://www.fife-education.org.uk/st-andrewshs/,2026-05-21,21e8eca5-cd1f-4c8d-a962-8359efab32ec,72
10,North Lanarkshire,ST MARGARET'S HIGH SCHOOL,S12000050,8505934,118139527.0,"WAVERLEY DRIVE, AIRDRIE, ML6 6EU",Denominational,Secondary,ht@stmargarets.n-lanak.sch.uk,01236 794888,http://www.stmargaretshigh.org.uk/,2026-05-21,db04aa35-030c-48dc-9d19-9efa69b2e9ed,14
