SchoolKey,SchoolName,SchoolPostcode,SchoolMapLabel,LocalAuthority,Postcode_area,Postcode_district,Latitude,Longitude,CatchmentGeoJsonUrl,FallbackGeoJsonUrl,FallbackGeoJsonFilename,HasRealCatchmentGeoJson,HasFallbackGeoJson
Aberdeen Grammar School|AB10 1HT,Aberdeen Grammar School,AB10 1HT,Aberdeen Grammar School (Aberdeen City),Aberdeen City,AB,AB10,57.1469242,-2.115954,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeen_city_aberdeen_grammar_school_5244439.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_aberdeen_grammar_school_ab10_1ht.geojson,fallback_aberdeen_grammar_school_ab10_1ht.geojson,True,True
Aboyne Academy|AB34 5JN,Aboyne Academy,AB34 5JN,Aboyne Academy (Aberdeenshire),Aberdeenshire,AB,AB34,57.0754187,-2.7953613,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_aboyne_academy_5257530.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_aboyne_academy_ab34_5jn.geojson,fallback_aboyne_academy_ab34_5jn.geojson,True,True
Airdrie Academy|ML6 6NX,Airdrie Academy,ML6 6NX,Airdrie Academy (North Lanarkshire),North Lanarkshire,ML,ML6,55.8755426,-3.9815892,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_airdrie_academy_8505438.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_airdrie_academy_ml6_6nx.geojson,fallback_airdrie_academy_ml6_6nx.geojson,True,True
Aith Junior High School|ZE2 9NB,Aith Junior High School,ZE2 9NB,Aith Junior High School (Shetland Islands),Shetland Islands,ZE,ZE2,60.2837886,-1.377676,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_aith_junior_high_school_6103030.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_aith_junior_high_school_ze2_9nb.geojson,fallback_aith_junior_high_school_ze2_9nb.geojson,True,True
Alford Academy|AB33 8TY,Alford Academy,AB33 8TY,Alford Academy (Aberdeenshire),Aberdeenshire,AB,AB33,57.2313696,-2.71361,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_alford_academy_5230934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_alford_academy_ab33_8ty.geojson,fallback_alford_academy_ab33_8ty.geojson,True,True
All Saints Secondary School|G21 3EN,All Saints Secondary School,G21 3EN,All Saints Secondary School (Glasgow City),Glasgow City,G,G21,55.8861754,-4.20294,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/combined-by-school/scotland_sd_combined_glasgow_city_all_saints_secondary_school_g21_3en.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_all_saints_secondary_school_g21_3en.geojson,fallback_all_saints_secondary_school_g21_3en.geojson,True,True
Alloa Academy|FK10 1DN,Alloa Academy,FK10 1DN,Alloa Academy (Clackmannanshire),Clackmannanshire,FK,FK10,56.1088878,-3.7936069,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_clackmannanshire_alloa_academy_5702534.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_alloa_academy_fk10_1dn.geojson,fallback_alloa_academy_fk10_1dn.geojson,True,True
Alness Academy|IV17 0UY,Alness Academy,IV17 0UY,Alness Academy (Highland),Highland,IV,IV17,57.6928825,-4.2484046,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_alness_academy_5120136.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_alness_academy_iv17_0uy.geojson,fallback_alness_academy_iv17_0uy.geojson,True,True
Alva Academy|FK12 5FE,Alva Academy,FK12 5FE,Alva Academy (Clackmannanshire),Clackmannanshire,FK,FK12,56.1505494,-3.7914324,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_clackmannanshire_alva_academy_5702836.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_alva_academy_fk12_5fe.geojson,fallback_alva_academy_fk12_5fe.geojson,True,True
Anderson High School|ZE1 0GR,Anderson High School,ZE1 0GR,Anderson High School (Shetland Islands),Shetland Islands,ZE,ZE1,60.1494683,-1.1373481,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_shetland_islands_anderson_high_school_6103634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_anderson_high_school_ze1_0gr.geojson,fallback_anderson_high_school_ze1_0gr.geojson,True,True
Annan Academy|DG12 6AP,Annan Academy,DG12 6AP,Annan Academy (Dumfries and Galloway),Dumfries and Galloway,DG,DG12,54.9847974,-3.2603155,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_annan_academy_5948339.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_annan_academy_dg12_6ap.geojson,fallback_annan_academy_dg12_6ap.geojson,True,True
Arbroath Academy|DD11 5JD,Arbroath Academy,DD11 5JD,Arbroath Academy (Angus),Angus,DD,DD11,56.5693325,-2.5726192,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_arbroath_academy_5307031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_arbroath_academy_dd11_5jd.geojson,fallback_arbroath_academy_dd11_5jd.geojson,True,True
Arbroath High School|DD11 3EN,Arbroath High School,DD11 3EN,Arbroath High School (Angus),Angus,DD,DD11,56.5614112,-2.6005824,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_arbroath_high_school_5307139.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_arbroath_high_school_dd11_3en.geojson,fallback_arbroath_high_school_dd11_3en.geojson,True,True
Ardnamurchan High School|PH36 4JA,Ardnamurchan High School,PH36 4JA,Ardnamurchan High School (Highland),Highland,PH,PH36,56.6998108,-5.5681904,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_ardnamurchan_high_school_5130239.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/school-fallbacks/fallback_ardnamurchan_high_school_ph36_4ja.geojson,fallback_ardnamurchan_high_school_ph36_4ja.geojson,True,True
