source_row,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method,match_count,manual_override_reason,geojson_filename,geojson_url
1,ST PAUL'S RC ACADEMY,Dundee City,5330033,St Paul's RC Academy|DD3 0EH,seed_code,1,,scotland_sd_dundee_city_st_paul_s_rc_academy_5330033.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_dundee_city_st_paul_s_rc_academy_5330033.geojson
2,ST MAURICE'S HIGH SCHOOL,North Lanarkshire,8358931,St Maurice's High School|G68 9AG,seed_code,1,,scotland_sd_north_lanarkshire_st_maurice_s_high_school_8358931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_maurice_s_high_school_8358931.geojson
3,ST THOMAS AQUINAS SECONDARY SCHOOL,Glasgow City,8438838,St Thomas Aquinas Secondary School|G14 9PP,seed_code,1,,scotland_sd_glasgow_city_st_thomas_aquinas_secondary_school_8438838.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_glasgow_city_st_thomas_aquinas_secondary_school_8438838.geojson
4,OUR LADY'S HIGH SCHOOL - MOTHERWELL,North Lanarkshire,8517134,Our Lady's High School - Motherwell|ML1 2DG,seed_code,1,,scotland_sd_north_lanarkshire_our_lady_s_high_school_motherwell_8517134.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_our_lady_s_high_school_motherwell_8517134.geojson
5,ST MODAN'S HIGH SCHOOL,Falkirk,5726336,St Modan's High School|FK7 7WS,seed_code,1,,scotland_sd_falkirk_st_modan_s_high_school_5726336.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_falkirk_st_modan_s_high_school_5726336.geojson
6,ST COLUMBA'S HIGH SCHOOL,Inverclyde,8645434,St Columba's High School|PA19 1TN,seed_code,1,,scotland_sd_inverclyde_st_columba_s_high_school_8645434.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_inverclyde_st_columba_s_high_school_8645434.geojson
7,HOLY ROOD RC HIGH SCHOOL,City of Edinburgh,5533031,Holy Rood RC High School|EH15 3ST,seed_code,1,,scotland_sd_city_of_edinburgh_holy_rood_rc_high_school_5533031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_city_of_edinburgh_holy_rood_rc_high_school_5533031.geojson
8,ST PETER THE APOSTLE HIGH SCHOOL,West Dunbartonshire,8300135,St Peter the Apostle High School|G81 2DB,seed_code,1,,scotland_sd_west_dunbartonshire_st_peter_the_apostle_high_school_8300135.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_west_dunbartonshire_st_peter_the_apostle_high_school_8300135.geojson
9,ST ANDREW'S R C HIGH SCHOOL,Fife,5407230,St Andrew's R C High School|KY1 3JL,seed_code,1,,scotland_sd_fife_st_andrew_s_r_c_high_school_5407230.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_fife_st_andrew_s_r_c_high_school_5407230.geojson
10,ST MARGARET'S HIGH SCHOOL,North Lanarkshire,8505934,St Margaret's High School|ML6 6EU,seed_code,1,,scotland_sd_north_lanarkshire_st_margaret_s_high_school_8505934.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-denom-catchments/scotland_sd_north_lanarkshire_st_margaret_s_high_school_8505934.geojson
