sample_row,local_auth,school_nam,la_s_code,seed_code,uprn,address,type,level,email,phone,website,sh_date_up,sh_src,sh_src_id
1,Highland,INVERGORDON ACADEMY,S12000017,5119634,130005452.0,"ACADEMY ROAD, INVERGORDON, IV18 0LD",Non-denominational,Secondary,invergordon.academy@highland.gov.uk,01349 852362,http://invergordonacademy.com/,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,102
2,Fife,MADRAS COLLEGE,S12000047,5426537,320175046.0,"BELL BRAE, ST ANDREWS, KY16 9BY",Non-denominational,Secondary,madrascollege.enquiries@fife.gov.uk,01334 659401,http://www.madras.fife.sch.uk,2026-05-21,89a9dd83-6b83-43f6-90f4-d01966c47afb,199
3,Moray,BUCKIE HIGH SCHOOL,S12000020,5208734,10091751347.0,"WEST CATHCART STREET, BUCKIE, MORAY, AB56 1QB",Non-denominational,Secondary,admin.buckiehigh@moray-edunet.gov.uk,01542 832605,http://www.buckiehigh.com/,2026-05-21,a8fcd967-b00b-4ffa-b9e0-8ac90bf4894b,127
4,North Lanarkshire,CARLUKE HIGH SCHOOL,S12000050,8549931,484157056.0,"CARNWATH ROAD, CARLUKE, ML8 4EA",Non-denominational,Secondary,office@carluke.s-lanark.sch.uk,01555 773680,http://www.carluke-highschool.org.uk/,2026-05-21,0b6f8995-97e0-40b9-a01b-11c998644e98,86
5,Fife,VIEWFORTH HIGH SCHOOL,S12000047,5407338,320313394.0,"WINDMILL COMMUNITY CAMPUS, WINDMILL ROAD, KIRKCALDY FIFE, KY1 3AL",Non-denominational,Secondary,viewforthhs.enquiries@fife.gov.uk,01592 583408,https://viewforthhighschool.co.uk/,2026-05-21,89a9dd83-6b83-43f6-90f4-d01966c47afb,191
6,Dundee City,BALDRAGON ACADEMY,S12000042,5331137,9059105068.0,"69 HARESTANE ROAD, DUNDEE, DD3 0LF",Non-denominational,Secondary,baldragonacademy@dundeeschools.scot,01382 436170,http://baldragon.ea.dundeecity.sch.uk/,2026-05-21,e354d137-1b9a-4498-918c-55552686bb40,72
7,Highland,NAIRN ACADEMY,S12000017,5153131,130030705.0,"DUNCAN DRIVE, NAIRN, IV12 4RD",Non-denominational,Secondary,nairn.academy@highland.gov.uk,01667 453700,http://nairnacademy.wordpress.com,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,96
8,South Ayrshire,PRESTWICK ACADEMY,S12000028,8236836,141040027.0,"15 NEWDYKES ROAD, PRESTWICK, KA9 2LB",Non-denominational,Secondary,prestwick.mail@south-ayrshire.gov.uk,01292 477121,http://www.prestwick.sayr.sch.uk/,2026-05-21,afc7d7e4-f71b-4993-adba-3af3554148de,133
9,North Ayrshire,ARDROSSAN ACADEMY,S12000021,8214638,126060254.0,"SORBIE ROAD, ARDROSSAN, KA22 8AR",Non-denominational,Secondary,ardrossan@ea.n-ayrshire.sch.uk,01294 461931,www.ardrossanandwinton.co.uk,2026-05-21,a3412317-7b55-410c-b420-2952048510b9,234
10,Aberdeenshire,FRASERBURGH ACADEMY,S12000034,5219736,151085018.0,"DENNYDUFF ROAD, FRASERBURGH, ABERDEENSHIRE, AB43 9NA",Non-denominational,Secondary,fraserburgh.aca@aberdeenshire.gov.uk,01346 417400,http://www.fraserburgh.aberdeenshire.sch.uk,2023-11-16,7d1b6ac2-c23e-4b47-b9c7-228860317d99,273
11,Scottish Borders,KELSO HIGH,S12000026,,,ANGRAFLAT ROAD KELSO TD5 7NL,Non-denominational,Secondary,,,http://www.scotborders.gov.uk/directory_record/20125/kelso_high_school,2021-09-29,d0651ab7-2864-4491-ad06-c3d558e21fff,260
12,City of Edinburgh,BROUGHTON HIGH SCHOOL,S12000036,5531632,906460593.0,"29 EAST FETTES AVENUE, EDINBURGH, EH4 1EG",Non-denominational,Secondary,admin@broughton.edin.sch.uk,0131 332 7805,http://www.broughton.edin.sch.uk/,2026-05-21,e6a737bd-e072-4e13-9c7d-98a6bd3557e9,20
13,Fife,QUEEN ANNE HIGH SCHOOL,S12000047,5446236,320229083.0,"PILMUIR STREET, BROOMHEAD, DUNFERMLINE, KY12 0PQ",Non-denominational,Secondary,queenannehs.enquiries@fife.gov.uk,01383 502404,http://www.qahs.org.uk/,2026-05-21,89a9dd83-6b83-43f6-90f4-d01966c47afb,188
14,City of Edinburgh,CRAIGROYSTON COMMUNITY HIGH SCHOOL,S12000036,5532434,906464584.0,"67 PENNYWELL ROAD, EDINBURGH, EH4 4NL",Non-denominational,Secondary,admin@craigroyston.edin.sch.uk,0131 477 7801,http://www.craigroyston.edin.sch.uk/,2026-05-21,e6a737bd-e072-4e13-9c7d-98a6bd3557e9,23
15,Highland,WICK HIGH SCHOOL,S12000017,5102138,130014661.0,"NEWTON ROAD, WICK, KW1 5LT",Non-denominational,Secondary,wick.high@highland.gov.uk,01955 603333/4,http://www.wickhighschool.org,2026-05-21,220e235c-6d1b-4476-bf73-9f70e07f2a19,92
16,Inverclyde,CLYDEVIEW ACADEMY,S12000018,8640130,119052723.0,"BURNSIDE ROAD, GOUROCK, PA19 1UX",Non-denominational,Secondary,office@clydeviewacademy.inverclyde.sch.uk,01475 715050,http://clydeviewacademy.inverclyde.sch.uk/,2018-05-16,463250c3-d093-4964-a77a-4e9cf1f00a98,30
17,Midlothian,NEWBATTLE HIGH SCHOOL,S12000019,5546036,120052311.0,"NEWBATTLE COMMUNITY CAMPUS, NEWBATTLE WAY, EASTHOUSES, DALKEITH, EH22 4SX",Non-denominational,Secondary,newbattle.hs@midlothian.gov.uk,0131 561 6700,http://www.newbattle.org.uk/,2019-10-25,b44e0d3a-4789-42bd-87e6-23a24d7946b9,313
