geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_highland_invergordon_academy_5119634.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_invergordon_academy_5119634.geojson,INVERGORDON ACADEMY,Highland,5119634,Invergordon Academy|IV18 0LD,seed_code
scotland_sn_fife_madras_college_5426537.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_madras_college_5426537.geojson,MADRAS COLLEGE,Fife,5426537,Madras College|KY16 9BY,seed_code
scotland_sn_moray_buckie_high_school_5208734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_buckie_high_school_5208734.geojson,BUCKIE HIGH SCHOOL,Moray,5208734,Buckie High School|AB56 1QB,seed_code
scotland_sn_north_lanarkshire_carluke_high_school_8549931.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_carluke_high_school_8549931.geojson,CARLUKE HIGH SCHOOL,North Lanarkshire,8549931,Carluke High School|ML8 4EA,seed_code
scotland_sn_fife_viewforth_high_school_5407338.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_viewforth_high_school_5407338.geojson,VIEWFORTH HIGH SCHOOL,Fife,5407338,Viewforth High School|KY1 3AL,seed_code
scotland_sn_dundee_city_baldragon_academy_5331137.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dundee_city_baldragon_academy_5331137.geojson,BALDRAGON ACADEMY,Dundee City,5331137,Baldragon Academy|DD3 0LF,seed_code
scotland_sn_highland_nairn_academy_5153131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_nairn_academy_5153131.geojson,NAIRN ACADEMY,Highland,5153131,Nairn Academy|IV12 4RD,seed_code
scotland_sn_south_ayrshire_prestwick_academy_8236836.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_prestwick_academy_8236836.geojson,PRESTWICK ACADEMY,South Ayrshire,8236836,Prestwick Academy|KA9 2LB,seed_code
scotland_sn_north_ayrshire_ardrossan_academy_8214638.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_ayrshire_ardrossan_academy_8214638.geojson,ARDROSSAN ACADEMY,North Ayrshire,8214638,Ardrossan Academy|KA22 8AR,seed_code
scotland_sn_aberdeenshire_fraserburgh_academy_5219736.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_aberdeenshire_fraserburgh_academy_5219736.geojson,FRASERBURGH ACADEMY,Aberdeenshire,5219736,Fraserburgh Academy|AB43 9NA,seed_code
